,longitude,latitude,name,duration,hours,minutes
367,10.119556,55.459775,Hedebovej,1695.2,0.0,28.0
368,10.119838,55.480366,Axel Brahesvej,1930.9,0.0,32.0
369,10.119908,55.489924,Lykkesborgvej,2032.7,0.0,33.0
370,10.11928,55.510517,Gulløkken,1999.9,0.0,33.0
371,10.11735,55.524279,Lundsgårdvej,1908.1,0.0,31.0
372,10.121291,55.538958,Jydgyden,1923.7,0.0,32.0
373,10.117526,55.549791,Fælledvej,2226.1,0.0,37.0
374,10.121237,55.567843,,2367.7,0.0,39.0
375,10.370917,55.379996,,0.0,0.0,0.0
376,10.12203,55.577988,Stegøvej,2578.7,0.0,42.0
377,10.139171,55.034249,Søndenvej,5335.6,1.0,28.0
378,10.138938,55.048389,Revvej,5159.5,1.0,25.0
379,10.135875,55.055367,Revvej,5534.4,1.0,32.0
380,10.140669,55.087249,,3024.8,0.0,50.0
381,10.140357,55.089739,Dueredsvænget,2982.7,0.0,49.0
382,10.137453,55.109775,,2728.9,0.0,45.0
383,10.137612,55.119248,Bønnelandsvej,2744.8,0.0,45.0
384,10.150226,55.145596,,2620.6,0.0,43.0
385,10.140286,55.16004,,2151.9,0.0,35.0
386,10.137411,55.168778,Landevejen,2539.6,0.0,42.0
387,10.141199,55.192118,Strandbyvej,2002.5,0.0,33.0
388,10.138563,55.200778,,2248.1,0.0,37.0
389,10.139536,55.220082,,1895.1,0.0,31.0
390,10.138806,55.229616,,1891.8,0.0,31.0
391,10.140011,55.25223,,1621.0,0.0,27.0
392,10.140311,55.269431,Langerod,1459.2,0.0,24.0
393,10.139847,55.279993,Holtevej,1479.8,0.0,24.0
394,10.139484,55.298587,Holtevej,1704.1,0.0,28.0
395,10.139122,55.306842,Krengerupvej,1616.5,0.0,26.0
396,10.140897,55.330191,Skovstrupvej,1509.6,0.0,25.0
397,10.136014,55.341123,,1542.8,0.0,25.0
398,10.139841,55.360037,,1553.9,0.0,25.0
399,10.14096,55.368436,,1434.0,0.0,23.0
400,10.370917,55.379996,,0.0,0.0,0.0
401,10.139987,55.389995,,1144.9,0.0,19.0
402,10.139866,55.409199,,1362.4,0.0,22.0
403,10.14301,55.420459,Vædehave,1200.4,0.0,20.0
404,10.138538,55.440366,Sasserod,1536.5,0.0,25.0
405,10.140701,55.449458,,1460.2,0.0,24.0
406,10.140008,55.4699,,1874.8,0.0,31.0
407,10.1385,55.478317,Axel Brahesvej,1865.3,0.0,31.0
408,10.139422,55.500718,,1882.7,0.0,31.0
409,10.139604,55.510158,Møllevej,3500.3,0.0,58.0
410,10.140152,55.529665,Kolshave,1918.8,0.0,31.0
411,10.140703,55.552015,,2218.5,0.0,36.0
412,10.145063,55.559894,Burskovvej,2238.3,0.0,37.0
413,10.122243,55.577919,Stegøvej,2581.8,0.0,43.0
414,10.16878,55.038002,Smedegyden,6080.0,1.0,41.0
415,10.158626,55.052267,Molevej,4870.6,1.0,21.0
416,10.170006,55.09132,,2858.3,0.0,47.0
417,10.17158,55.100043,Tåstebjerggyden,2573.8,0.0,42.0
418,10.170192,55.120019,Hornegyden,2669.8,0.0,44.0
419,10.168623,55.132484,Strandholmen,2592.6,0.0,43.0
420,10.175928,55.148836,Præstevænget,2499.0,0.0,41.0
421,10.169151,55.161803,,2524.5,0.0,42.0
422,10.170847,55.181586,Bremerholmsgyden,2230.2,0.0,37.0
423,10.171771,55.20205,Jordløse Møllevej,1924.4,0.0,32.0
424,10.173501,55.20471,Søbo Løkker,1963.9,0.0,32.0
425,10.370917,55.379996,,0.0,0.0,0.0
426,10.171886,55.229528,,1708.0,0.0,28.0
427,10.177004,55.240011,,1793.2,0.0,29.0
428,10.169935,55.260454,Langstedvej,1633.9,0.0,27.0
429,10.169511,55.271445,Højrupgyden,1689.5,0.0,28.0
430,10.165923,55.288562,Skovsbovej,1339.7,0.0,22.0
431,10.1697,55.299615,Neversvej,1380.6,0.0,23.0
432,10.172849,55.320017,Kivsmosevej,1458.7,0.0,24.0
433,10.170269,55.340322,Høgsholtvej,1352.2,0.0,22.0
434,10.170135,55.349329,Højsletten,1379.7,0.0,22.0
435,10.168823,55.370123,Magtenbøllevej,1167.4,0.0,19.0
436,10.173201,55.379187,Magtenbøllevej,1063.0,0.0,17.0
437,10.169933,55.400122,Kelstrupskovvej,1104.8,0.0,18.0
438,10.171164,55.409518,,1085.3,0.0,18.0
439,10.167364,55.429355,Elverodvej,1391.5,0.0,23.0
440,10.176882,55.440474,,1434.7,0.0,23.0
441,10.173118,55.460973,Farstrup Hed,1751.5,0.0,29.0
442,10.168864,55.480828,Kildehaven,1810.0,0.0,30.0
443,10.168565,55.491321,Veflinge Skovvej,1743.5,0.0,29.0
444,10.170603,55.509801,Kirkevej,1643.8,0.0,27.0
445,10.168657,55.519745,Slagstrupvej,1715.2,0.0,28.0
446,10.17257,55.540713,Birkholmvej,1936.7,0.0,32.0
447,10.169914,55.549998,Birkholmvej,2043.7,0.0,34.0
448,10.170128,55.567754,Gyldensteensvej,2153.2,0.0,35.0
449,10.160662,55.579788,,2466.9,0.0,41.0
450,10.370917,55.379996,,0.0,0.0,0.0
451,10.190063,55.593968,Lindøhoved,2434.1,0.0,40.0
452,10.190063,55.593968,Lindøhoved,2434.1,0.0,40.0
453,10.198618,55.063,Knoldsvej,2994.8,0.0,49.0
454,10.192427,55.080586,,2628.5,0.0,43.0
455,10.187891,55.089911,Sinebjergvej,2641.9,0.0,44.0
456,10.189841,55.109361,,2425.5,0.0,40.0
457,10.191734,55.133056,,2673.3,0.0,44.0
458,10.191906,55.140057,Stenbækvej,2548.0,0.0,42.0
459,10.191085,55.163127,Kalovn,2418.2,0.0,40.0
460,10.187456,55.170296,Pallesgyden,2232.8,0.0,37.0
461,10.191928,55.189434,,2133.0,0.0,35.0
462,10.191656,55.201274,Søbo Løkker,2167.5,0.0,36.0
463,10.185577,55.21784,Trunderupvej,1801.5,0.0,30.0
464,10.188398,55.231922,,1614.4,0.0,26.0
465,10.19,55.24967,Vøjstrupvej,1626.6,0.0,27.0
466,10.19248,55.266302,Bøgholmvej,1834.2,0.0,30.0
467,10.189923,55.280002,,1464.4,0.0,24.0
468,10.191643,55.301057,,1473.5,0.0,24.0
469,10.189895,55.310131,Krengerupvej,1392.2,0.0,23.0
470,10.189501,55.329846,Sortebrovej,1321.7,0.0,22.0
471,10.189406,55.341378,,1348.1,0.0,22.0
472,10.188184,55.360047,Kirkevej,1068.9,0.0,17.0
473,10.188554,55.370369,,1052.4,0.0,17.0
474,10.189755,55.389758,Kelstrupvej,959.9,0.0,15.0
475,10.370917,55.379996,,0.0,0.0,0.0
476,10.190454,55.409897,Langesøvej,1058.1,0.0,17.0
477,10.193886,55.419223,Langesøvej,1166.5,0.0,19.0
478,10.191965,55.440579,,1359.4,0.0,22.0
479,10.189349,55.450003,Plantagevej,1417.7,0.0,23.0
480,10.190001,55.469994,Havgårdsvej,1588.1,0.0,26.0
481,10.194524,55.479753,Stormarken,1797.9,0.0,29.0
482,10.19326,55.498844,Kosterslevhuse,1521.2,0.0,25.0
483,10.189554,55.511832,Askebyvej,1627.4,0.0,27.0
484,10.189956,55.53008,,1891.4,0.0,31.0
485,10.185106,55.550062,Tyentved,2424.1,0.0,40.0
486,10.190219,55.558886,Møllerled,2287.3,0.0,38.0
487,10.196871,55.577939,Nabbevej,2263.8,0.0,37.0
488,10.194222,55.591816,Lindøhoved,2355.7,0.0,39.0
489,10.190356,55.593972,,2444.4,0.0,40.0
490,10.190356,55.593972,,2444.4,0.0,40.0
491,10.222755,55.601559,Bregnebjerg,2898.1,0.0,48.0
492,10.21002,55.070082,Dyreborgvej,2722.0,0.0,45.0
493,10.209809,55.087335,,2610.9,0.0,43.0
494,10.207366,55.099855,Johan Rantzaus Vej,2430.8,0.0,40.0
495,10.211895,55.120191,Grubbemøllegyden,2382.6,0.0,39.0
496,10.210363,55.130361,,2467.4,0.0,41.0
497,10.20869,55.152914,Stenbækvej,2497.3,0.0,41.0
498,10.209711,55.160999,,2365.8,0.0,39.0
499,10.211705,55.181676,,2228.3,0.0,37.0
500,10.370917,55.379996,,0.0,0.0,0.0
501,10.209646,55.198868,Tørvegyden,2080.2,0.0,34.0
502,10.210233,55.209786,Søbovej,1876.2,0.0,31.0
503,10.212819,55.226399,Dyndbjergvej,1714.7,0.0,28.0
504,10.209591,55.24055,,1712.3,0.0,28.0
505,10.210081,55.260045,Kohavegyden,1643.4,0.0,27.0
506,10.21072,55.266331,Kohavegyden,1875.9,0.0,31.0
507,10.210386,55.290106,Sydmarksvej,1283.3,0.0,21.0
508,10.209947,55.299564,Maevej,1232.4,0.0,20.0
509,10.210583,55.320177,,1250.6,0.0,20.0
510,10.20823,55.34386,,1264.1,0.0,21.0
511,10.210129,55.349031,,1351.0,0.0,22.0
512,10.210787,55.372966,,1011.7,0.0,16.0
513,10.211517,55.38015,Bøllemosegyden,857.5,0.0,14.0
514,10.20801,55.401539,Dyregrav Væde Vej,975.1,0.0,16.0
515,10.215242,55.412689,Troelsevej,1208.7,0.0,20.0
516,10.208406,55.431243,,1323.7,0.0,22.0
517,10.210205,55.44033,Rugårdsvej,1145.0,0.0,19.0
518,10.208815,55.460041,Ruevej,1403.8,0.0,23.0
519,10.210626,55.480514,Kosterslevvej,1513.1,0.0,25.0
520,10.205687,55.489201,Kosterslevvej,1736.4,0.0,28.0
521,10.204561,55.510017,,1604.6,0.0,26.0
522,10.208575,55.519661,Enghaven,1711.6,0.0,28.0
523,10.209488,55.539917,Tøvlidtvej,2290.6,0.0,38.0
524,10.209745,55.55012,Jerstrupvej,2106.5,0.0,35.0
525,10.370917,55.379996,,0.0,0.0,0.0
526,10.210128,55.570557,Gyldensteensvej,2003.8,0.0,33.0
527,10.210159,55.579998,Jersorevej,2117.5,0.0,35.0
528,10.21813,55.596934,,2463.0,0.0,41.0
529,10.244514,54.922659,Lebymarksvej,6492.5,1.0,48.0
530,10.243602,54.936549,,6501.7,1.0,48.0
531,10.244078,55.030812,Holmevej,5172.7,1.0,26.0
532,10.228486,55.08095,Bjerne Langgyde,2783.1,0.0,46.0
533,10.239725,55.09269,Kanalvej,2525.7,0.0,42.0
534,10.239858,55.110124,,2334.0,0.0,38.0
535,10.240288,55.129796,Bjergevej,2224.7,0.0,37.0
536,10.236011,55.141577,Nørremarken,2228.2,0.0,37.0
537,10.240213,55.160155,Skelbanke,2239.8,0.0,37.0
538,10.240584,55.170772,,2173.6,0.0,36.0
539,10.240148,55.190575,,1975.4,0.0,32.0
540,10.241882,55.200355,,1955.1,0.0,32.0
541,10.240034,55.219838,Bjerget,2015.3,0.0,33.0
542,10.240039,55.230033,Husmandsgyden,1727.2,0.0,28.0
543,10.241052,55.251132,,1412.6,0.0,23.0
544,10.240989,55.269976,Verningevej,1364.2,0.0,22.0
545,10.243872,55.283198,Lindebjergvej,1495.3,0.0,24.0
546,10.239621,55.30176,Vesterlaugsvej,1501.3,0.0,25.0
547,10.240515,55.310004,Birkevej,1449.9,0.0,24.0
